episode,epsilon,episode_reward,avg_loss,win,replay_size,global_step
356.0,0.6796,-19.0,0.059397361055016515,0.0,1000.0,7055.0
357.0,0.6787000000000001,-11.0,0.068536177277565,0.0,1000.0,7057.0
358.0,0.6778,0.0,0.056106940250505104,1.0,1000.0,7068.0
359.0,0.6769000000000001,4.0,0.050554306379386356,1.0,1000.0,7075.0
360.0,0.6759999999999999,-10.0,0.06016170818890844,1.0,1000.0,7096.0
361.0,0.6751,-16.0,0.061677763445509806,1.0,1000.0,7123.0
362.0,0.6742,-6.0,0.05870112930150593,1.0,1000.0,7140.0
363.0,0.6733,-3.0,0.061297123453446796,1.0,1000.0,7154.0
364.0,0.6724,-12.0,0.058962846903697304,1.0,1000.0,7177.0
365.0,0.6715,-10.0,0.05807440461856978,1.0,1000.0,7198.0
366.0,0.6706,-4.0,0.06511362319191297,1.0,1000.0,7213.0
367.0,0.6697,1.0,0.06014067605137825,1.0,1000.0,7223.0
368.0,0.6688000000000001,-30.0,0.0758000735193491,0.0,1000.0,7253.0
369.0,0.6678999999999999,0.0,0.0815543843941255,1.0,1000.0,7264.0
370.0,0.667,-6.0,0.07444852678214803,1.0,1000.0,7281.0
371.0,0.6660999999999999,-18.0,0.06964338488048977,0.0,1000.0,7290.0
372.0,0.6652,-12.0,0.0583723783493042,0.0,1000.0,7293.0
373.0,0.6643,-30.0,0.06375610182682673,0.0,1000.0,7323.0
